gap_case,id,domain,polarity,sentence,target,direct_prediction,thor_prediction,diagnostic_label,current_selected_source,current_selected_prediction,oracle_source,oracle_prediction,meta_selector_source,meta_selector_prediction,error_type,diagnostic_confidence,sc_vote_counts,direct_to_thor_transition,current_to_oracle_source,current_to_oracle_label,meta_to_oracle_source,sc_vote_margin,sc_top_vote_share,sc_unanimous
all_sources_wrong_oracle_wrong,598,laptop,neutral,i have dropped mine a couple times with only a slim plastic case covering it.,slim plastic case,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,617,laptop,neutral,I had to get Apple Customer Support to correct the problem.,Apple Customer Support,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,629,laptop,neutral,"After replacing the spinning hard disk with an ssd drive, my mac is just flying.",spinning hard disk,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:2;positive:1,negative->negative,direct->direct,negative->negative,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,638,laptop,neutral,It also comes with 4G of RAM but if you're like me you want to max that out so I immediately put 8G of RAM in her and I've never used a computer that performs better.,4G of RAM,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,639,laptop,neutral,It also comes with 4G of RAM but if you're like me you want to max that out so I immediately put 8G of RAM in her and I've never used a computer that performs better.,8G of RAM,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,18,restaurant,neutral,"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",drinks,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,19,restaurant,neutral,"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",dessert pizza,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,145,restaurant,positive,The steak melted in my mouth.,steak,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,295,restaurant,neutral,"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",sushi/sashimi,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,314,restaurant,neutral,The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,meals,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,349,restaurant,positive,Dieters stick to salads or indulge in vegetarian platters.,salads,neutral,neutral,neutral,direct,neutral,direct,neutral,direct,neutral,no_error,high,negative:1;neutral:2,neutral->neutral,direct->direct,neutral->neutral,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,354,restaurant,neutral,My friends and I stop here for pizza before hitting the Kips Bay movie theater.,pizza,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,neutral:1;positive:2,positive->positive,direct->direct,positive->positive,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,477,restaurant,neutral,I've come here for casual lunches as well as for a friend's birthday and I always enjoy myself.,casual lunches,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,518,restaurant,neutral,The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.,salad,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,519,restaurant,neutral,The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.,salad dressing,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:2;neutral:1,negative->negative,thor->direct,negative->negative,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,520,restaurant,neutral,The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.,quesedilla,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,536,restaurant,neutral,"When she complained, the waitress said, Sorry.",waitress,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,592,restaurant,neutral,THEY HAVE WAITERS ON THE SIDEWALK TRYING TO PULL YOU IN WHICH MADE US SUSPICIOUS.,WAITERS,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,601,restaurant,neutral,"Probably my worst dining experience in new york, and I'm a former waiter so I know what I'm talking about.",waiter,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,604,restaurant,positive,Ask for the round corner table next to the large window.,round corner table next to the large window,neutral,neutral,neutral,direct,neutral,direct,neutral,direct,neutral,no_error,high,neutral:3,neutral->neutral,direct->direct,neutral->neutral,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,617,restaurant,neutral,"The other times I've gone it's romantic date heaven, you can walk in get a booth by the windows, be treated like a VIP in a not-crowded place, with great food and service.",booth by the windows,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,652,restaurant,negative,The waitress came by to pick up the soy sauce WHILE we were eating our lunch!!!!!,waitress,positive,neutral,neutral,direct,positive,direct,positive,direct,positive,no_error,high,neutral:3,positive->neutral,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,655,restaurant,neutral,"So we sat at the bar, the bartender didn't seem like he wanted to be there.",bar,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,664,restaurant,neutral,"Would you ever believe that when you complain about over an hour wait, when they tell you it will be 20-30 minutes, the manager tells the bartender to spill the drinks you just paid for?",bartender,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,665,restaurant,neutral,"Would you ever believe that when you complain about over an hour wait, when they tell you it will be 20-30 minutes, the manager tells the bartender to spill the drinks you just paid for?",drinks,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,686,restaurant,neutral,then she made a fuss about not being able to add 1 or 2 chairs on either end of the table for additional people.,chairs,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,689,restaurant,positive,"The happy hour is so cheap, but that does not reflect the service or the atmosphere.",service,negative,neutral,neutral,thor,neutral,direct,negative,thor,neutral,no_error,high,negative:1;neutral:2,negative->neutral,thor->direct,neutral->negative,thor->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,690,restaurant,positive,"The happy hour is so cheap, but that does not reflect the service or the atmosphere.",atmosphere,neutral,neutral,neutral,direct,neutral,direct,neutral,direct,neutral,no_error,high,negative:1;neutral:2,neutral->neutral,direct->direct,neutral->neutral,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,692,restaurant,neutral,"After waiting for almost an hour, the waiter brusquely told us he'd forgotten to give the kitchen our order.",kitchen,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,705,restaurant,neutral,"It was good, but none of the flavors WOW.",flavors,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,712,restaurant,neutral,"for about eleven bucks you get a gigantic burrito (or tacos), margarita, and dessert.",margarita,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,737,restaurant,neutral,Cuisine is billed as asian fusion - doesn't meet the bill.,asian fusion,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,752,restaurant,neutral,"I came to fresh expecting a great meal, and all I got was marginally so-so food served in a restaurant that was just so freezing we couldn't enjoy eating.",served,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,761,restaurant,neutral,i went in one day asking for a table for a group and was greeted by a very rude hostess.,table,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,808,restaurant,negative,15% gratuity automatically added to the bill.,bill,neutral,neutral,neutral,direct,neutral,direct,neutral,direct,neutral,no_error,high,neutral:3,neutral->neutral,direct->direct,neutral->neutral,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,809,restaurant,negative,15% gratuity automatically added to the bill.,gratuity,neutral,positive,positive,direct,neutral,direct,neutral,direct,neutral,no_error,high,neutral:1;positive:2,neutral->positive,direct->direct,neutral->neutral,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,839,restaurant,neutral,"Menus feature seasonal picks, like sweet corn-foie gras brulee.",sweet corn-foie gras brulee,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,849,restaurant,neutral,I had to flag down a third staff person for a fork... so now it's goodbye Little RUDE Pie Company.,staff person,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,879,restaurant,positive,Pizzas were excellent in addition to appetizers and main courses.,main courses,neutral,neutral,neutral,direct,neutral,direct,neutral,direct,neutral,no_error,high,neutral:3,neutral->neutral,direct->direct,neutral->neutral,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,941,restaurant,neutral,"Not only was the sushi fresh, they also served other entrees allowed each guest something to choose from and we all left happy (try the duck!",entrees,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,943,restaurant,neutral,"After I paid for my purchase, I noticed they had not given me utensils so I could eat my pie.",utensils,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,954,restaurant,neutral,"Build a meal with side orders like Amazin' Greens salads, Buffalo Chicken Kickers and Cinna Stix.",Buffalo Chicken Kickers,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,958,restaurant,neutral,"Thick fries, meaty chili and stuffed baked potatoes round out a menu that includes a cool, ultra-thick chocolate Frosty.",meaty chili,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,959,restaurant,neutral,"Thick fries, meaty chili and stuffed baked potatoes round out a menu that includes a cool, ultra-thick chocolate Frosty.",stuffed baked potatoes,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,neutral:1;positive:2,positive->positive,direct->direct,positive->positive,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,977,restaurant,positive,"The service, however, is a peg or two below the quality of food (horrible bartenders), and the clientele, for the most part, are rowdy, loud-mouthed commuters (this could explain the bad attitudes from the staff) getting loaded for an AC/DC concert or a Knicks game.",quality of food,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,983,restaurant,negative,Make more tables- perhaps a rooftop bar?,tables,positive,neutral,neutral,direct,positive,direct,positive,direct,positive,no_error,high,neutral:3,positive->neutral,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,985,restaurant,positive,"The decoration was feeling like we was on the Cairo, actually the street is part of that adventure.",decoration,neutral,neutral,neutral,direct,neutral,direct,neutral,direct,neutral,no_error,high,neutral:2;positive:1,neutral->neutral,direct->direct,neutral->neutral,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,1014,restaurant,neutral,Had dinner here on a Friday and the food was great.,dinner,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,1022,restaurant,positive,"but, the filet mignon was not very good at all cocktail hour includes free appetizers (nice non-sushi selection).",cocktail hour,neutral,negative,negative,direct,neutral,direct,neutral,direct,neutral,missed_implicit_negative,medium,negative:3,neutral->negative,direct->direct,neutral->neutral,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,1041,restaurant,neutral,We were seated promptly in close proximity to the dance floor.,dance floor,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,1048,restaurant,neutral,The sauce is excellent (very fresh) with dabs of real mozzarella.,dabs of real mozzarella,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,1054,restaurant,negative,"The room is a little plain, but it's difficult to make such a small place exciting and I would not suggest that as a reason not to go.",place,neutral,neutral,neutral,direct,neutral,direct,neutral,direct,neutral,no_error,high,neutral:3,neutral->neutral,direct->direct,neutral->neutral,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,1072,restaurant,neutral,"The room is a gorgeous, bi-level space and the long bar perfect for a drink.",drink,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,1074,restaurant,neutral,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",mozzarella sticks,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,1085,restaurant,neutral,They are served on Focacchia bread and are to die for.,served,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,1104,restaurant,neutral,""" The menu includes pub fare--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as ""vegetarians.",steaks,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,1107,restaurant,neutral,""" The menu includes pub fare--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as ""vegetarians.",pub fare,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,1115,restaurant,neutral,I just had my first visit to this place and can't wait to go back and slowly work my way through the menu.,menu,positive,positive,positive,direct,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,direct->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,1117,restaurant,neutral,I asked repeatedly what the status of the meal was and was pretty much grunted at by the unbelievably rude waiter.,meal,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,1123,restaurant,neutral,Its good to go there for drinks if you don't want to get drunk because you'll be lucky if you can get one drink an hour the service is so bad.,drink,negative,negative,negative,thor,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,thor->direct,negative->negative,direct->direct,3,1.0,True
